S.no;World Ranking;Germany Ranking;_University Name;University Name link;Course Type;Course Sub_Type;City;Course Name;Course Germany Ranking;Teaching language;_language Req.;Admission without IELTS/TOEFL;Required German Grade;GRE;"Tution Fee ";Tuition Fee Per;Beginning Semester;Application DeadLine for winter;Application DeadLine for Summer;Duration;Go to course website;Submit application to;Logo URL;Responsible Person;_Daad SIte;Updated on;State;Comment;Tags_Alternate;Uni_Type;Type of Course;;Application Deadline(EU/Non EU);University's Official emails;Fees link;LOI Additional;Study Type;Focus;Target group;Annotation;Admission modus;Admission requirements;Area of study;Admission requirements on Official Webpage;ECTS;Mode of Admission;Study Mode;Admission Test/Interview;Application;Required German Language Test;"Commented by Abhishek ";MGU_LINK
457;2756;101;Bonn-Rhine-Sieg University of Applied Sciences;https://howtoabroad.com/hochschule-bonn-rhein-sieg/;Master;Master;Sankt Augustin;Marketing (MSc);;English;;;;;None;;Winter;31-Mar;;3 semesters;https://www.h-brs.de/en/wiwi/study/master/marketing;https://apollo.h-brs.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/Hochschule-Bonn-Rhein-Sieg.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4732/;11-June;North Rhine-Westphalia;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;English;undergraduate;Geothermie: vom geologischen Untergrund über die Bohrplanung/Tiefbohrtechnik bis zur Wärmebereitstellung, Wärmespeicherung im Untergrund, Sicherer Umgang und Speicherung von komprimiertem Wasserstoff, Kopplung unterschiedlicher Energiesektoren, Digitalisierung in Geoenergiesystemen, Erdöl- und Erdgastechnik in der Wandlung;;Der Studiengang startet erstmalig zum Wintersemester 2022/23.;open admission;"Der Nachweis für die deutsche Sprache ist entbehrlich für Bewerberinnen und Bewerber, deren Muttersprache Deutsch ist (Deutschland, Österreich, Schweiz). 
1. TestDaF 4 x 3
2. DSH 1
3. Goethe-Zertifikat B2
4. TELC B2
Der Nachweis über Englischkenntnisse ist entbehrlich für Bewerberinnen und Bewerber deren Muttersprache Englisch ist (u. a. USA, Großbritannien, Kanada, Irland, Malta,  Australien, Neuseeland, Südafrika). 
1. Test of English as a Foreign Language (TOEFL®, iBT) mit einem Ergebnis von mindestens 72 Punkten
2. International English Language Testing System (IELTS Academic) mit einem Ergebnis von 5.5
3. Cambridge First Certificate in English (FCE) Grade C
4. telc English B2⋅ University
5. UNIcert® II";Mining / Power Engineering;https://tuc.hispro.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y;;;;;;;;
458;3372;130;Hochschule Wismar - University of Applied Sciences, Technology, Business and Design;https://howtoabroad.com/hochschule-wismar/;Master;Master;Wismar;Master Architectural Lighting and Design Management (part-time programme for professionals);NA;English;;;;;€3,900;Semester;Winter;31-Aug;;5 semesters;https://www.wings.hs-wismar.de/de/fernstudium_master/architectural_lighting_design_management;https://uk.wings-university.com/lighting_design#386;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/50767691_2149358245110782_7992968102457376768_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4175/;11-June;Mecklenburg-Vorpommern;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Environmental Media, Applied Geoengineering, Geoengineering, Civil Engineering and Geomechanics, Landfill Technology, Surveying Technology, Geoinformation, Sewage Engineering, Risk Assessment, Geosciences;;"For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG support
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support";open admission;For applicants a school leaving certificate giving right of entry to general or technical higher education is required. Admission also possible for technicians, master craftspersons and individuals with professional experience.;Civil Engineering / Geotechnical Engineering / Geodesy;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
459;3372;130;Hochschule Wismar - University of Applied Sciences, Technology, Business and Design;https://howtoabroad.com/hochschule-wismar/;Master;Master;Wismar;Master Architectural Lighting Design;NA;English;;;;;None;;Winter;1-May;;4 semesters;https://fg.hs-wismar.de/studium/studienangebot/architectural-lighting-design/;https://fg.hs-wismar.de/studium/studienangebot/architectural-lighting-design/bewerben-fuer-architectural-lighting-design/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/50767691_2149358245110782_7992968102457376768_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3795/;11-June;Mecklenburg-Vorpommern;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.geoeng@tu-clausthal.de;Not given;;graduate;Geoengineering, Geo-Environmental Media, Risk Management;Graduates with a Bachelor's degree or Diplom in Geoenvironmental Engineering or related geotechnical degree courses;"Application deadlines: 
For the summer semester by 1 April\; 
For the winter semester by 1 October 
Applications received later may or may not be considered.";open admission;Bachelor's or Diplom degree in Geoenvironmental Engineering or comparable course;Civil Engineering / Environmental Protection Technology / Geosciences;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868646&preview=/28868646/28868648/6.40.67%20SZZB_MSc%20Geoenvironmental%20Engineering%2017.01.2017.pdf;;;;;;;;
460;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Master Biology - Specialisation Ecology (Eco);48 (For Ecology);English;;;;;None;;Winter, Summer;30-Apr;31-Oct;6 semesters;https://msingermany.co.in/technische-universitat-kaiserslautern-master-biology-specialisation-ecology/;https://www.uni-kl.de/international/master/prospective-students/master-programs/master-programs-in-english/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4805/;11-June;Rhineland-Palatinate;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;English;undergraduate;Inorganic and Analytical Chemistry, Organic Chemistry, Technical Chemistry, Electrochemistry, International Business Chemistry, Business Administration, Marketing, Company Research, Production, Investment and Financing;;"The degree course will start for the first time in the winter semester 2021/22. For students starting in the summer semester, we strongly recommend entering the degree course via our Steiger-College: , with BaföG funding
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG funding";open admission;;Inorganic Chemistry / Organic Chemistry / Physical Chemistry / Analytical Chemistry / Business Administration / Economics;https://tuc.hispro.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y;;;;;;;;
461;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Master Biology - Specialisation Microbial & Plant Biotechnology (MPBiotec);53 (For Biology), 42 (For Microbiology);English;;;;;None;;Winter, Summer;30-Apr;31-Oct;4 semesters;https://www.bio.uni-kl.de/studium-lehre/studiengaenge/master-biology/mpbiotec/;https://www.uni-kl.de/international/master/prospective-students/master-programs/master-programs-in-english/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4799/;11-June;Rhineland-Palatinate;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.wiing@tu-clausthal.de;Not given;;graduate;Materials Engineering, Production and Processes, Energy and Raw Materials Management;"Bachelor's degree and Diplom graduates in Industrial Engineering with the following specialisations:
- Mechanical Engineering
- Electrical and Electronic Engineering
- Energy Engineering
- Electrical Energy Engineering
- Production Engineering
- Material and Production Engineering
- Business and Engineering";"Application deadlines: 
For the summer semester by 1 April\; 
For the winter semester by 1 October 
Applications received later may or may not be considered.";open admission;Applicants must have at least 30 ECTS points in Engineering and 30 ECTS points in Economics.;;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868691&preview=/28868691/28868692/6.40.69%20SZZB_MSc%20Wiing%2017.01.2017.pdf;;;;;;;;
462;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Master Biology - Specialisation Neurobiology (Neuro);48 (For Neuroscience);English;;;;;None;;Winter, Summer;30-Apr;31-Oct;4 semesters;https://www.bio.uni-kl.de/studium-lehre/studiengaenge/master-biology/neurobiology/;https://www.uni-kl.de/international/master/prospective-students/master-programs/master-programs-in-english/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4804/;11-June;Rhineland-Palatinate;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Business Administration, Economics, Engineering Sciences, Framework Sciences, Law, Internship;;"For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG support
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support";open admission;Applicants should have a general university entry qualification or a technical or economics-based entrance qualification for studies at universities of applied science. Admission also possible for technicians, master craftspersons and individuals with professional experience.;Mechanical Engineering / Engineering and Management / Business Administration / Economics / Environmental Management, Energy Management;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
463;2195;90;FH Munster – University of Applied Sciences;https://howtoabroad.com/fh-munster-university-of-applied-sciences/;Master;Master;Münster;Master Chemical Engineering (MSc);NA;English;;;;;None;;Winter;31-May;;4 semesters;https://en.fh-muenster.de/studium/studiengaenge/master/masterstudiengaenge.php?studId=9;https://en.fh-muenster.de/studium/studienbewerbung/bewerber-nicht-ewr.php?p=2,7,0;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/FH-Munster-University-of-Applied-Sciences.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3969/;11-June;North Rhine-Westphalia;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / info@ces.tu-clausthal.de;Not given;;graduate;Innovation and Technology Management, Strategic Management, Organizational Development and Leadership, International Marketing and Sales, Big Data Management and Analytics, German and European Leadership and Business Culture, Cyber-Physical Systems and Internet of Things, Circular Economy, Führungskompetenz, Interkulturelle Kompetenz;Professionals with a technically oriented academic degree;Der Studiengang setzt aktuell ausschließlich auf Online-Lehrformate. Es ist keine Präsenz vor Ort notwendig.;open admission;A Bachelor's degree in the field of economics, industrial engineering, engineering, natural sciences, computer science, mathematics, or a degree deemed equivalent with at least 180 credit points is required.;Business Administration / International Business Administration / Marketing, Distribution / Technology Management / Business Management, Organization Management;https://tuc.hispro.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y;;;;;;;;
464;228;20;Ruhr-University Bochum;https://howtoabroad.com/ruhr-universitat-bochum-2/;Master;Master;Bochum;Master Cognitive Science;3 (For Cognitive Science);English;IELTS-6.5/ TOEFL(IBT-85 /PBT/CBT)/OTHERS;YES;NA;NA;None;;Winter;31-Jul;;4 semesters;https://studienangebot.rub.de/en/cognitive-science/master-1-subject;https://bewerbung.uv.ruhr-uni-bochum.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/ruhr-bochum.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4356/;11-June;North Rhine-Westphalia;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Materials, Metallurgy, Plastics Engineering, Glasses and Bonding Agents, Foundry Engineering, Metal Working, Materials Science, Materials Science, Polymer Materials, Steel Technology;;"For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG support
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support";open admission;For applicants a school leaving certificate giving right of entry to general or technical higher education is required. Admission also possible for technicians, master craftspersons and individuals with professional experience.;Foundry Engineering / Materials Science / Materials Technology;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
465;2349;92;HTW Dresden - University of Applied Sciences;https://howtoabroad.com/htw-dresden-university-of-applied-sciences/;Master;Master;Dresden;Master Environmental Engineering (MEng);NA;English;;;;;None;;Winter;15-Jun;;4 semesters;https://www.htw-dresden.de/studium/vor-dem-studium/studienangebot/master-environmental-engineering;https://www.uni-assist.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/HTW-Dresden-University-of-Applied-Sciences.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4761/;11-June;Saxony;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.mawi@tu-clausthal.de oder ma.wete@tu-clausthal.de;Not given;English;graduate;Foundry Engineering, Materials Shaping, Physical Materials Science, Plastics Processing, Functional Materials and Sensors, Nanostructured Materials, Polymer Materials, Physical Metallography, Interfaces and Corrosion, Glasses and Bonding Agents;"Bachelor's degree graduates of the following areas:
- Materials Science
- Plastics Engineering
- Metallurgy
- Foundry Engineering
- Metal Working
- Glass
- Non-metallic Minerals
- Materials Science
- Materials Engineering
- Material Physics
- Physical Technologies
- Technical Chemistry";;open admission;"Bachelor's degree graduates of the following degree courses:
Materials Science and Materials Engineering
-Energy and Materials Physics
-Foundry Engineering
-Metal Working
-Plastics Engineering
-Glass
-Non-metallic Minerals";Foundry Engineering / Materials Science / Materials Technology;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868681&preview=/28868681/28868682/6.40.88%20SZZB-Master%20MaWi%2017.01.2017.pdf;;;;;;;;
466;695;50;University of Hohenheim;https://howtoabroad.com/university-of-hohenheim/;Master;Master;Stuttgart;Master Food Systems;1 (For Food Science);English;;;;;Varied;;Winter;30-Mar;;4 semesters;https://www.uni-hohenheim.de/en/food-systems-masters;https://mfs-apply.eitfood.eu/institutions/institution/1-master-food-systems-consortium;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/University-of-Hohenheim.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6294/;11-June;Baden-Wurttemberg;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.mb@tu-clausthal.de;Not given;;graduate;Construction, Manufacturing, Attachments, Materials, Fatigue Strength/Tribology, Production, Automation Engineering, Mechatronics, Materials Technology;Bachelor's graduates with a degree in Mechanical Engineering or similar scientific subjects. Also graduates with a Diplom degree from a university of applied sciences and BA graduates;"Application deadlines: 
For the summer semester by 1 April\; 
For the winter semester by 1 October";open admission;;Mechanical Engineering / Mechatronics / Materials Science;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868651&preview=/28868651/28868653/6.40.71%20SZZB_MSc_Mb%2030.10.2018.pdf;;;;;;;;
467;3372;130;Hochschule Wismar - University of Applied Sciences, Technology, Business and Design;https://howtoabroad.com/hochschule-wismar/;Master;Master;Wismar;Master Green Architecture (part-time programme for professionals);NA;English;;;;;€3,950;Semester;Winter, Summer;;31-Jan;4 semesters;https://www.wings-university.com/green_architecture;https://www.wings-university.com/green_architecture#121;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/50767691_2149358245110782_7992968102457376768_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4294/;11-June;Mecklenburg-Vorpommern;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Construction, Manufacturing, Industry, Mechatronics, Automation Engineering, Biomechanics, Theory of Movement, Sports Motor Activity, Prosthetics, Anatomy and Physiology;;"The programme has the following three fields of study: General mechanical engineering, mechantronics and biomechanics.
For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG support
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support";open admission;For applicants a school leaving certificate giving right of entry to general or technical higher education is required. Admission also possible for technicians, master craftspersons and individuals with professional experience.;Manufacturing Engineering / Design Engineering / Mechanical Engineering;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
468;2248;91;Frankfurt School of Finance & Management;https://howtoabroad.com/frankfurt-school-of-finance-and-management/;Master;Master;Frankfurt;Master in Applied Data Science;NA;English;;;;;€8,125;Semester;Winter;30-Jun;;4 semesters;https://www.frankfurt-school.de/en/home/programmes/master/data-science;https://applymasters.frankfurt-school.de/applied_data_science;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/203926693_10159324099187200_3269834390113387196_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4255/;11-June;Hesse;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / oliver.langefeld@tu-clausthal.de;Not given;;graduate;International, Practical, Versatile, Various co-operations, Entirely taught in English language, Underground Mining, Open Pit Mining, Rock Mechanics, Health and Safety, Mining Machinery;"Bachelor's graduates in the areas of 
-Mining Engineering
-Materials Supply Engineering
-Mining
-Geoengineering
-and related degree courses";The Admissions Committee decides on exceptions to admissions.;open admission;Bachelor's degree in Mining Engineering or a related course;Mining / Geotechnical Engineering;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868697&preview=/28868697/28868698/6.40.84%20SZZB_MSc_ME%2017.01.2017.pdf;;;;;;;;
469;56;1;LMU - Ludwig Maximilian University of Munich;https://howtoabroad.com/ludwig-maximilians-university-munich/;Master;Master;Munich;Master in Biochemistry;1 (For Biochemistry);English;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.genzentrum.uni-muenchen.de/study-program/master/index.html;https://www.genzentrum.uni-muenchen.de/study-program/master/application/index.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/ludwig-maximilians-universitaet-muenchen-lmu-munich-vector-logo-small.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6171/;11-June;Bavaria;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / info@ite.tu-clausthal.de;Not given;;graduate;Drilling and Production, Reservoir Management, Deep Geothermal Systems;Graduates from the Bachelor's course of study 'Energy and Raw Materials' or a comparable German or foreign degree course;"Course only starts in winter semester\; Application by 15.07.";open admission;Bachelor's or Diploma degree in 'Energy and Raw Materials' specialising in 'Petroleum Engineering' or a degree from a general university or university of applied sciences with comparable subject orientation;Geotechnical Engineering / Geology / Geophysics;;;;;;;;;
470;338;27;TU Darmstadt;https://howtoabroad.com/technical-university-darmstadt/;Master;Master;Darmstadt;Master in Distributed Software Systems;;English;;;;;None;;Winter, Summer;NA;1-Mar;4 semesters;https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_183936.en.jsp;https://movein-tu-darmstadt.moveonnet.eu/movein/portal/studyportal.php;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/TUD.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/;11-June;Hesse;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.vtciw@tu-clausthal.de;Not given;;graduate;Chemical Processes, Energy, New Materials, Thermal Process Engineering, Chemical Process Engineering, Mechanical Process Engineering, Environmental Process Engineering, Bioprocess engineering, Life Science Engineering;Bachelor's graduates with a degree in Process Engineering, Chemical Engineering or similar areas, also graduates of universities of applied sciences and BA graduates;"Application periods: 
For the summer semester by 1 April\; 
For the winter semester by 1 October";open admission;Bachelor's degree in Process Engineering, Chemical Engineering or a similar subject;Bioengineering / Chemical Engineering / Process Technology;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868656&preview=/28868656/28868658/6.40.74%20SZZB_MSc_CIW-VT%2030.10.2018.pdf;;;;;;;;
471;149;9;Humboldt University of Berlin;https://howtoabroad.com/humboldt-university-of-berlin/;Master;Master;Berlin;Master in Economics and Management Science (MEMS);31 (For Management), 5 (For Economics);English;IELTS/ TOEFL(IBT/PBT/CBT)/OTHERS;YES;NA;YES;None;;Winter;31-Mar;;4 semesters;https://www.wiwi.hu-berlin.de/en/study/sb/studium/master-mems;https://www.wiwi.hu-berlin.de/en/study/sb/bewerbung/masterstudiengange/Applying%20MEMS;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/humboldt-unoversiy.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6083/;11-June;Brandenburg;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Process Engineering, Chemical Engineering, Pollution Control Engineering, Apparatus and Systems, Sewage Engineering, Chemistry, New Materials;;"The course of studies includes 3 fields of study: Apparatus and plants, chemistry and environmental technologies.
For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG support
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support";open admission;For applicants a school leaving certificate giving right of entry to general or technical higher education is required. Admission also possible for technicians, master craftspersons and individuals with professional experience.;Chemical Engineering / Process Technology / Environmental Protection Technology;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
472;367;30;Saarland University;https://howtoabroad.com/saarland-university/;Master;Master;Saarbrücken;Master in Educational Technology (EduTech);NA;English;;;3;NA;None;;Winter;15-Jul;;4 semesters;https://www.uni-saarland.de/en/study/programmes/master/edutech.html;https://www.uni-saarland.de/en/study/application/master.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/Saarland-University.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4397/;11-June;Saarland;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;;undergraduate;Sports Theory, Sports Motor Activity, Biomechanics, Materials Engineering, Basics of Anatomy and Physiology, Prosthetics, Sports and Rehabilitation Technology, Materials Science, Design Engineering, Manufacturing Engineering;;For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG support;open admission;;Sports Science / Materials Science / Materials Technology;https://www.tu-clausthal.de/studieninteressierte/bewerbung-beratung/hochschulzulassung/;;;;;;;;
473;344;28;University of Regensburg;https://howtoabroad.com/university-of-regensburg/;Master;Master;Regensburg;Biology;29 (For Biology);English;CEFR A6;YES;2.5;NA;None;;Winter, Summer;20-Jun;20-Dec;9 semesters;https://www.uni-regensburg.de/studium/studienangebot/studiengaenge-a-z/biologie-msc/index.html;https://www.uni-regensburg.de/international/incomings/mit-studienabschluss/bewerbung/index.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/University-of-Regensburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5661/;11-June;Bavaria;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de;Not given;English;undergraduate;Raw Material Extraction, Raw Materials, Raw Materials Processing, Resource Management, Sustainability Recycling, Raw Materials Technology, Environmental Protection, Circular Economy, Waste Management;;"This course will start for the first time in the 2021/22 winter semester. Applications are open from May 2021.
For beginners in the summer semester, we strongly recommend that you start studying at our Steiger College: , with BaföG funding
For first-year students of the winter semester, there is now also the possibility of orientation over 2 further semesters at the Steiger-College  with BaföG funding";open admission;;Mining / Disposal Technology / Renewable Raw Materials / Environmental Protection Technology / Environmental Engineering;;;;;;;;;
474;5982;229;Kuhne Logistics University;https://howtoabroad.com/kuehne-logistics-university-hamburg/;Master;Master;Hamburg;Master in Global Supply Chain Management (Tricontinent);32 (For Supply Chain Management);English;;;;;€7,475;Semester;Winter;15-Jul;;4 semesters;https://www.the-klu.org/degree-programs/choose-your-program/master-in-logistics-scm/;https://application.the-klu.org/campus/application/applicationStart.asp?lang=en;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/1200px-Kuhne_Logistics_University_logo_2019.svg_.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4773/;11-June;Hamburg State;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.syseng@tu-clausthal.de;Not given;;graduate;Embedded Systems, Computer Science in Mechanical Engineering, Software Engineering in Engineering Disciplines, Computational Simulation, System Automation;The course is designed for continuing education of professionally experienced students with a qualified degree.;;open admission;Qualified Diplom or Bachelor's degree in the field of Mechanical Engineering, Mechatronics, Electrical and Electronic Engineering, Computer Science or a closely related degree course and at least 2 years of professional experience in one or more of the above-mentioned areas;Information Technology / Mechanical Engineering / Computer Engineering;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868673&preview=/28868673/28868674/6.40.82%20SZZB_Systems%20Engineering%2023.04.2019.pdf;;;;;;;;
475;1313;69;Leuphana University Luneburg;https://howtoabroad.com/leuphana-university-luneburg/;Master;Master;Lüneburg;Master in Governance and Human Rights (MA);;English;;;;;€2,475;Semester;Winter;1-Jun;;4 semesters;https://www.leuphana.de/en/professional-school/masters-studies/governance-and-human-rights.html;https://www.leuphana.de/en/professional-school/masters-studies/governance-and-human-rights/application.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/Leuphana-University-Luneburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4560/;11-June;Lower Saxony;;;;;;;astrid.abel@tu-clausthal.de / studienberatung@tu-clausthal.de / ma.tbwl@tu-clausthal.de;Not given;;graduate;Energy Management, Sustainability and Recycling Management, Manufacturing, Modelling and Simulation, Raw Material Extraction;Graduates of a Bachelor's or Diplom degree course of study in Business Administration;"Application deadlines: 
For the summer semester by 1 April\; 
For the winter semester by 1 October 
Applications received later may or may not be considered.";open admission;Bachelor's or Diplom degree in Business Administration or degree from a comparable course of study, university of applied sciences degree in Business Administration or from a comparable course of study;Business Administration / Environmental Management, Energy Management / Business Management, Organization Management;https://vhb.vw.tu-clausthal.de/pages/viewpage.action?pageId=28868617&preview=/28868617/28868625/6.40.51%20SZZB_MSc%20TBWL%2017.01.2017.pdf;;;;;;;;
476;4674;160;Hochschule Emden/Leer - University of Applied Sciences;https://howtoabroad.com/hochschule-emden-leer/;Master;Master;Emden;Master in Industrial Informatics - Specialisation Industrial Cyber-Physical Systems;;English;IELTS 6/ TOEFL(IBT 83/PBT 500 /CBT)/OTHERS;YES;NA;NA;None;;Winter, Summer;30-May;30-Nov;3 semesters;https://www.hs-emden-leer.de/en/current-students/faculties/technology/study-programs/industrial-informatics-master;https://www.uni-assist.de/online/hs-emden-leer;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/Emden-logo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/;11-June;Lower Saxony;;;;;;No information;tina.dommning@code.berlin / admissions@code.berlin;https://code.berlin/de/admission/#tuition;;undergraduate;Digital Design, Brand Design, Interfaces, Augmented / Virtual Reality / Video, Responsive Design, Design Strategy, Screen Design, Design Methods, Sound, Voice and Conversation, Image Composition;;"Students explore the extent to which feelings and behaviour can be positively influenced by technology.
In today's big, fast-paced world
our Bachelor's degree course prepares you for work in the creative industry. When designing the interaction between man and machine, our focus is on people, not functions.";Selection procedure / qualifying examination;;Industrial Design, Product Design / Applied Computer Science;https://code.berlin/de/admission/#admission;;;;;;;;
