World Ranking;Germany Ranking;University Name;Course Type;City;Course Name;Course Germany Ranking;Teaching language;Tution Fee (Per semester);Beginning Semester;Duration;Go to course website;Submit application to
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technical University of Munich- TUM"" rel=""noopener"" target=""_blank"">Technical University of Munich- TUM</a>";Master's degree;Munich;Master of Science in Earth Oriented Space Science and Technology (ESPACE);;English;none;Winter;4 semesters;"<a href=""https://www.tum.de/studium/studienangebot/detail/espace-earth-oriented-space-science-and-technology-master-of-science-msc"" title=""Master of Science in Earth Oriented Space Science and Technology (ESPACE)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.tum.de/tumonline/webnav.ini"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technical University of Munich- TUM"" rel=""noopener"" target=""_blank"">Technical University of Munich- TUM</a>";Master's degree;Munich;Master of Health Science – Prevention and Health Promotion;4 (For Biology), 4 (For Health Science);English;none;Winter;4 semesters;"<a href=""https://www.tum.de/studium/studienangebot/detail/health-science-prevention-and-health-promotion-master-of-science-msc"" title=""Master of Health Science – Prevention and Health Promotion"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.tum.de/tumonline/webnav.ini"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technical University of Munich- TUM"" rel=""noopener"" target=""_blank"">Technical University of Munich- TUM</a>";Master's degree;Munich;Science and Technology Studies;1 (For Information Technology);English;none;Winter;4 semesters;"<a href=""https://www.tum.de/studium/studienangebot/detail/science-and-technology-studies-sts-master-of-arts-ma"" title=""Science and Technology Studies"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.tum.de/tumonline/webnav.ini"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technical University of Munich- TUM"" rel=""noopener"" target=""_blank"">Technical University of Munich- TUM</a>";Master's degree;Munich;Master of Science in Sport and Exercise Science;4 (For Sports / Exercise science);English;none;Winter;4 semesters;"<a href=""https://www.tum.de/studium/studienangebot/detail/sport-and-exercise-science-master-of-science-msc"" title=""Master of Science in Sport and Exercise Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.tum.de/tumonline/webnav.ini"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
93;3;"<a href=""https://howtoabroad.com/technical-university-of-munich/"" title=""Technical University of Munich- TUM"" rel=""noopener"" target=""_blank"">Technical University of Munich- TUM</a>";Master's degree;Munich;Master's Programme in Transportation Systems;" 2 (For Transportation Engineering)";English;none;Winter;4 semesters;"<a href=""https://www.tum.de/studium/studienangebot/detail/transportation-systems-master-of-science-msc"" title=""Master's Programme in Transportation Systems"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
347;29;"<a href=""https://howtoabroad.com/justus-liebig-university-giessen/"" title=""Justus Liebig University Giessen"" target=""_blank"" rel=""noopener"">Justus Liebig University Giessen</a>";Master's degree;;Master's in Global Change: Ecosystem Science and Policy;;English;7.000,00;Winter;3 semesters;"<a href=""https://www.ucd.ie/globalchange/about/"" title=""Master's in Global Change: Ecosystem Science and Policy"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://hub.ucd.ie/usis/W_HU_REPORTING.P_RUN_SQL?p_query=OA-SELECT&p_parameters=1B5A23DD7C66966D3BF602CFD92BA1B08054178CE9D95DD24E97955ECBA5125896ADC5FB0E4F1F154B910FEFC70E4D56D783C5C9FBA2A58A726354A53809C630B3D573756227A6A425E8EE98D1001DC2ED71CE153519E386EA982410BC49FCCDCD87410F14AF31177E3CDCE6E84FFED27D7EA6C464A2E3454575CE8FBB318AB375B2B6221B04C1E3DD42AD96D1000D9DC5FB16D565B1D5C978BAE297E41A231E&p_confirmed=Y"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
73;2;"<a href=""https://howtoabroad.com/heidelberg-university/"" title=""Universität Heidelberg"" rel=""noopener"" target=""_blank"">Universität Heidelberg</a>";Master's degree;Heidelberg;Master of Science in Translational Medical Research;2 (For Biology);English;varied;Winter;2 semesters;"<a href=""https://www.umm.uni-heidelberg.de/medical-faculty-mannheim/master-programmes/master-translational-medical-research/"" title=""Master of Science in Translational Medical Research"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.umm.uni-heidelberg.de/medical-faculty-mannheim/master-programmes/master-translational-medical-research/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
948;60;"<a href=""https://howtoabroad.com/university-of-augsburg/"" title=""University of Augsburg"" target=""_blank"" rel=""noopener"">University of Augsburg</a>";Master's degree;;International Master in Materials Science;55 (For Materials Science);English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-augsburg.de/en/studium/studienangebot/uebersicht/materials-science-msc-2/"" title=""International Master in Materials Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";
1304;70;"<a href=""https://howtoabroad.com/university-of-bamberg/"" title=""University of Bamberg"" rel=""noopener"" target=""_blank"">University of Bamberg</a> ";Master's degree;;Master of Science in International Software Systems Science;;English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-bamberg.de/ma-isosysc/"" title=""Master of Science in International Software Systems Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bamberg.de/en/studies/non-exchange-students-masters-degree/online-application-form/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
433;37;"<a href=""https://howtoabroad.com/bielefeld-university/"" title=""Bielefeld University"" target=""_blank"" rel=""noopener"">Bielefeld University</a> ";Master's degree;;Master in Sociology;;English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-bielefeld.de/fakultaeten/soziologie/studium/international/pdf/Flyer_Sociology_International_Track.pdf"" title=""Master in Sociology"" target=""_blank"" rel=""noopener"">Go to course website</a>";
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Geodetic Engineering MSc;29 ( Geodetic Engineering MSc );English;none;Winter;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geodetic-engineering-msc"" title=""Geodetic Engineering MSc"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.ge.uni-bonn.de/prospective-students/requirements/requirements"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Geography of Environmental Risks and Human Security (MSc);2 (For Geography);English;none;Winter;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/geography-of-environmental-risks-and-human-security-msc"" title=""Geography of Environmental Risks and Human Security (MSc)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Bachelor's degree;Bonn;German-Italian Studies (BA);;German,French;none;Winter;6 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/german-italian-studies-ba"" title=""German-Italian Studies (BA)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Language course;Bonn;German-Italian Studies (MA);;German,Italian;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/german-italian-studies-ma"" title=""German-Italian Studies (MA)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Master's Programme in Life Science Informatics (b-it);7 (For Bioinformatics and Computational biology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/life-science-informatics-msc"" title=""Master's Programme in Life Science Informatics (b-it)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-guide"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Master's Programme in Mathematics;4 (For Mathematics);English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/mathematics-msc"" title=""Master's Programme in Mathematics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Medical Immunosciences and Infection, Master of Science;14 (For Immunology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/medical-immunosciences-and-infection-msc"" title=""Medical Immunosciences and Infection, Master of Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://masterapplication.uni-bonn.de/movein/hosted/online/move/movein/portal/studyportal.php?_language=en"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Renaissance Studies (MA);;German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-bonn.de/en/studying/degree-programs/degree-programs-a-z/renaissance-studies-ma"" title=""Renaissance Studies (MA)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bonn.de/en/studying/application-admission-and-enrollment/application-admission-and-enrollment"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;MSc Medical Biometry / Biostatistics;36 (For Biology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/en/mscbiometry"" title=""MSc Medical Biometry / Biostatistics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/en/master/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Biochemistry and Molecular Biology (BMB);43 (For Biochemistry), 46(For Molecular Biology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/en/mscbmb"" title=""Biochemistry and Molecular Biology (BMB)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/en/mscbmb/application-and-admission-1"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Ecology;16 (For Ecology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/en/mscecology"" title=""Ecology"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://moin.uni-bremen.de"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;International Studies in Aquatic Tropical Ecology, ISATEC (Study Profile in the Marine Biology MSc Programme);16 (For Ecology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/en/mscmarbiol"" title=""International Studies in Aquatic Tropical Ecology, ISATEC (Study Profile in the Marine Biology MSc Programme)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/en/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Marine Biology;36 (For Biology);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/en/mscmarbiol"" title=""Marine Biology"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/en/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";PhD / Doctorate;;Communication & Information Technology, MSc (CIT);NA;English;none;Summer;4 semesters;"<a href=""https://www.uni-bremen.de/fb1/studium/fuer-studieninteressierte-bachelor-und-master-studiengaenge/communication-and-information-technology-cit-msc"" title=""Communication & Information Technology, MSc (CIT)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Control, Microsystems, Microelectronics (CMM);;English;none;Summer;4 semesters;"<a href=""https://www.uni-bremen.de/fb1/studium/fuer-studieninteressierte-bachelor-und-master-studiengaenge/control-microsystems-microelectronics-cmm-msc"" title=""Control, Microsystems, Microelectronics (CMM)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST);;English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/fb1/studium/fuer-studieninteressierte-bachelor-und-master-studiengaenge/space-sciences-and-technologies-space-st-msc"" title=""Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;MA International Relations: Global Governance and Social Theory;7 (For International Relations);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/mair"" title=""MA International Relations: Global Governance and Social Theory"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/mair/admission"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Neurosciences;33 (For Neuroscience);English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/studium/orientieren-bewerben/studienangebot/dbs/study/21?cHash=b9cbf324b76b440a019aafba65e6dc82"" title=""Neurosciences"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Space Engineering I (SpE-I);;English;none;Winter, Summer;3 semesters;"<a href=""https://www.uni-bremen.de/studium/orientieren-bewerben/studienangebot/dbs/study/39?cHash=c44bf236ca73c18f6e81717d0d102745"" title=""Space Engineering I (SpE-I)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Materials Chemistry and Mineralogy;" 38 (For Chemistry)";English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/studium/orientieren-bewerben/studienangebot/dbs/study/45?cHash=df6b277a70c55b33ecd9f85bcf5ca5b9"" title=""Materials Chemistry and Mineralogy"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-bremen.de/master"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
392;34;"<a href=""https://howtoabroad.com/university-of-bremen/"" title=""University of Bremen"" target=""_blank"" rel=""noopener"">University of Bremen</a> ";Master's degree;;Digital Media;;English;none;Winter;4 semesters;"<a href=""https://www.uni-bremen.de/studium/starten-studieren/veranstaltungsverzeichnis?tx_hbulvp_pi1%5Bmodule%5D=4132cbe2326f0683415168a687a1e4ab&tx_hbulvp_pi1%5Bsem%5D=34"" title=""Digital Media"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://digitalmedia-bremen.de/profile/master/application-and-requirements/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";PhD / Doctorate;;Graduate School of Biomedical Science (BIOME);36 (For Biology);English;;Any time;6 semesters;"<a href=""https://www.uni-due.de/biome/"" title=""Graduate School of Biomedical Science (BIOME)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/biome/application.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;;Master of Arts in Contemporary East Asian Studies (MA CEAS);;English;none;Winter;4 semesters;"<a href=""https://www.uni-due.de/in-east/study_programs/ma_ceas/"" title=""Master of Arts in Contemporary East Asian Studies (MA CEAS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/in-east/study_programs/ma_ceas/prospective_students.php"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Essen;Master of Science in Transnational Ecosystem-Based Water Management (TWM);26 (For Management), 37 For Hydrology and Water resources management);English;1.000,00;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=103"" title=""Master of Science in Transnational Ecosystem-Based Water Management (TWM)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/international/application.php"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Urban Culture, Society and Space (MA);;German,English;none;Winter;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=104"" title=""Urban Culture, Society and Space (MA)"" target=""_blank"" rel=""noopener"">Go to course website</a>";
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Essen;Master of Science in Water Science;37 (For Hydrology and Water resources management);English;none;Winter;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=107"" title=""Master of Science in Water Science"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.uni-due.de/applyonline/"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Automation and Safety;8 ( For Automation and Control);German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=11"" title=""Automation and Safety"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studierendensekretariat/bewerbung.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Bachelor's degree;Duisburg;Structural Engineering;22 (For Structural Engineering);German,English;none;Winter;6 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=143"" title=""Structural Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://my.uni-assist.de/?lang=en"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Communications Engineering;;German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=144"" title=""Communications Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studierendensekretariat/bewerbung.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Power Engineering;;German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=145"" title=""Power Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/ise/admission.php"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Master of Science in Econometrics;22 (For Econometrics);English;none;Winter;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=187"" title=""Master of Science in Econometrics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.statistik.tu-dortmund.de/2706.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Management and Technology of Water and Waste Water;26 (For Management);German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=190"" title=""Management and Technology of Water and Waste Water"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://campus.uni-due.de/app_aaa/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Computational Mechanics;;German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=25"" title=""Computational Mechanics"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studierendensekretariat/bewerbung.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Bachelor's degree;Duisburg;Computer Engineering;34 (For Computer Engineering);German,English;none;Winter;6 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=26"" title=""Computer Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://my.uni-assist.de/?lang=en"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Computer Engineering;34 (For Computer Engineering);German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=27"" title=""Computer Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studierendensekretariat/bewerbung.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Embedded Systems Engineering;15 (For Systems Engineering);German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=29"" title=""Embedded Systems Engineering"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studierendensekretariat/bewerbung.shtml"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Essen;Environmental Toxicology;36 (For Biology), 42 (For Environmental Sciences);English;none;Winter;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=40"" title=""Environmental Toxicology"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=40"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
388;33;"<a href=""https://howtoabroad.com/university-of-duisburg-essen/"" title=""University of Duisburg-Essen"" rel=""noopener"" target=""_blank"">University of Duisburg-Essen</a> ";Master's degree;Duisburg;Management and Technology of Water and Waste Water;26 (For Management);German,English;none;Winter, Summer;4 semesters;"<a href=""https://www.uni-due.de/studienangebote/studiengang.php?id=63"" title=""Management and Technology of Water and Waste Water"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://www.uni-due.de/international/bewerbung.php"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
