_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,City,Course Name,Course Germany Ranking,Teaching language,_language Req.,_Admission without IELTS/TOEFL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine for winter,Application DeadLine for Summer,Duration,_Go to course website,Go to course website,_Submit application to,Submit application to,Post writing ,_Daad SIte,Updated By,Checked By,Comment,@
717,347,29,Justus Liebig University Giessen,"<a href=""https://howtoabroad.com/justus-liebig-university-giessen/"" title=""Justus Liebig University Giessen"" target=""_blank"">Justus Liebig University Giessen</a>",Master's degree,Giessen,Master's in Global Change: Ecosystem Science and Policy,,English,,,,,EUR 7000,Winter,untill all seats are filled,,3 semesters,https://www.ucd.ie/globalchange/about/,"<a href=""https://www.ucd.ie/globalchange/about/"" title=""Master's in Global Change: Ecosystem Science and Policy"" target=""_blank"">Go to course website</a>",https://hub.ucd.ie/usis/W_HU_REPORTING.P_RUN_SQL?p_query=OA-SELECT&p_parameters=1B5A23DD7C66966D3BF602CFD92BA1B08054178CE9D95DD24E97955ECBA5125896ADC5FB0E4F1F154B910FEFC70E4D56D783C5C9FBA2A58A726354A53809C630B3D573756227A6A425E8EE98D1001DC2ED71CE153519E386EA982410BC49FCCDCD87410F14AF31177E3CDCE6E84FFED27D7EA6C464A2E3454575CE8FBB318AB375B2B6221B04C1E3DD42AD96D1000D9DC5FB16D565B1D5C978BAE297E41A231E&p_confirmed=Y,"<a href=""https://hub.ucd.ie/usis/W_HU_REPORTING.P_RUN_SQL?p_query=OA-SELECT&p_parameters=1B5A23DD7C66966D3BF602CFD92BA1B08054178CE9D95DD24E97955ECBA5125896ADC5FB0E4F1F154B910FEFC70E4D56D783C5C9FBA2A58A726354A53809C630B3D573756227A6A425E8EE98D1001DC2ED71CE153519E386EA982410BC49FCCDCD87410F14AF31177E3CDCE6E84FFED27D7EA6C464A2E3454575CE8FBB318AB375B2B6221B04C1E3DD42AD96D1000D9DC5FB16D565B1D5C978BAE297E41A231E&p_confirmed=Y"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6109/,,,,
1195,347,29,Justus Liebig University Giessen,"<a href=""https://howtoabroad.com/justus-liebig-university-giessen/"" title=""Justus Liebig University Giessen"" target=""_blank"">Justus Liebig University Giessen</a>",Master's degree,Giessen,Master in German Law (LLM),24 (For Law),"German,English",,,,,None,"Summer, Winter",15-Jul,15-Jan,2 semesters,https://www.uni-giessen.de/studium/bewerbung/ergaenzung_aufbau/magisterlegum,"<a href=""https://www.uni-giessen.de/studium/bewerbung/ergaenzung_aufbau/magisterlegum"" title=""Master in German Law (LLM)"" target=""_blank"">Go to course website</a>",https://my.uni-assist.de/,"<a href=""https://my.uni-assist.de/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 17,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3944/,,,,
1571,347,29,Justus Liebig University Giessen,"<a href=""https://howtoabroad.com/justus-liebig-university-giessen/"" title=""Justus Liebig University Giessen"" target=""_blank"">Justus Liebig University Giessen</a>",PhD / Doctorate,Giessen,"International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)",9 (For Agricultural Economics),English,,,,,None,Winter ,31-Oct,,6 semesters,https://www.uni-giessen.de/faculties/f09/institutes/agri/policy/teaching/ippae,"<a href=""https://www.uni-giessen.de/faculties/f09/institutes/agri/policy/teaching/ippae"" title=""International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)"" target=""_blank"">Go to course website</a>",https://www.uni-giessen.de/faculties/f09/institutes/agri/policy/teaching/ippae/howapply,"<a href=""https://www.uni-giessen.de/faculties/f09/institutes/agri/policy/teaching/ippae/howapply"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3740/,,,,
1599,347,29,Justus Liebig University Giessen,"<a href=""https://howtoabroad.com/justus-liebig-university-giessen/"" title=""Justus Liebig University Giessen"" target=""_blank"">Justus Liebig University Giessen</a>",PhD / Doctorate,Giessen,PhD Programme of the Faculties of Veterinary Medicine and Medicine,4 (For Veterinary),English,,,,,None,Winter ,15-Jul,,6 semesters,https://www.uni-giessen.de/fbz/fb11/forschung/promotion/phd/about,"<a href=""https://www.uni-giessen.de/fbz/fb11/forschung/promotion/phd/about"" title=""PhD Programme of the Faculties of Veterinary Medicine and Medicine"" target=""_blank"">Go to course website</a>",https://www.uni-giessen.de/fbz/fb11/forschung/promotion/phd/admission_text,"<a href=""https://www.uni-giessen.de/fbz/fb11/forschung/promotion/phd/admission_text"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6878/,,,,
388,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Düsseldorf,International Master's Programme in Physics, 40 (For Physics),English,IELTS 6.0/ TOEFL(IBT 80 /PBT /CBT)/OTHERS,YES ,NA,YES,None,"Summer, Winter",15-Sep,15-Mar,4 semesters,https://www.physik.hhu.de/en/studium-und-lehre/studiengaenge/msc-physics,"<a href=""https://www.physik.hhu.de/en/studium-und-lehre/studiengaenge/msc-physics"" title=""International Master's Programme in Physics"" target=""_blank"">Go to course website</a>",https://digstu.hhu.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces,"<a href=""https://digstu.hhu.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 6,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3805/,,,,
691,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Düsseldorf,Master of Science Industrial Pharmacy,37 (For Pharmacy),English,IELTS/ TOEFL(IBT/PBT/CBT)/OTHERS,,,,None,Winter,,,4 semesters,https://www.hhu.de/en/studies/all-courses-of-study-at-heinrich-heine-university/course-information?tx_igstudiengaenge_txigstudiengaengepi2%5Baction%5D=list&tx_igstudiengaenge_txigstudiengaengepi2%5Bcontroller%5D=DoSvDetail&tx_igstudiengaenge_txigstudiengaengepi2%5Bstudiengang%5D=349&cHash=91a589af5d533e7b892f061b92a4e082,"<a href=""https://www.hhu.de/en/studies/all-courses-of-study-at-heinrich-heine-university/course-information?tx_igstudiengaenge_txigstudiengaengepi2%5Baction%5D=list&tx_igstudiengaenge_txigstudiengaengepi2%5Bcontroller%5D=DoSvDetail&tx_igstudiengaenge_txigstudiengaengepi2%5Bstudiengang%5D=349&cHash=91a589af5d533e7b892f061b92a4e082"" title=""Master of Science Industrial Pharmacy"" target=""_blank"">Go to course website</a>",https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad,"<a href=""https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad"" title=""Submit application"" target=""_blank"">Submit application</a>",,,,,,
748,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Chemnitz,Master's Programme Translational Neuroscience,5 (For Neuroscience),English,,,2,NA,None,Winter,15-Jul,,4 semesters,https://www.translationalneuroscience.hhu.de/,"<a href=""https://www.translationalneuroscience.hhu.de/"" title=""Master's Programme Translational Neuroscience"" target=""_blank"">Go to course website</a>",https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad,"<a href=""https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 8,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4796/,,,,
1188,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Düsseldorf,"MA Programme German-French Business, Labour and Social Law",NA 22 (For Law),"German,French",,,,,None,Winter,15-Jul,,4 semesters,,,,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3983/,,,,
1234,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Düsseldorf,Media and Culture Analysis: Theatre and Media Cultures in a Transnational Space,,"German,French",,,,,Varied,Winter,15-Aug,,4 semesters,https://www.hhu.de/en/studies/all-courses-of-study-at-heinrich-heine-university/course-information?tx_igstudiengaenge_txigstudiengaengepi2%5Baction%5D=list&tx_igstudiengaenge_txigstudiengaengepi2%5Bcontroller%5D=DoSvDetail&tx_igstudiengaenge_txigstudiengaengepi2%5Bstudiengang%5D=376&cHash=a2b58377c78cbcc26dd51d77ab94afae,"<a href=""https://www.hhu.de/en/studies/all-courses-of-study-at-heinrich-heine-university/course-information?tx_igstudiengaenge_txigstudiengaengepi2%5Baction%5D=list&tx_igstudiengaenge_txigstudiengaengepi2%5Bcontroller%5D=DoSvDetail&tx_igstudiengaenge_txigstudiengaengepi2%5Bstudiengang%5D=376&cHash=a2b58377c78cbcc26dd51d77ab94afae"" title=""Media and Culture Analysis: Theatre and Media Cultures in a Transnational Space"" target=""_blank"">Go to course website</a>",https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad,"<a href=""https://www.hhu.de/en/studies/application-and-enrolment/application-of-prospective-students-from-abroad"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3859/,,,,
1456,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",PhD / Doctorate,Dresden,Graduate Programme Competition Economics - DFG GRK 1974,33 (For Economics),English,,,,,None,Winter,15-Mar,,6 semesters,https://www.dice.hhu.de/en/phd-programme/graduate-programme-competition-economics-dfg-grk-1974/graduate-programme-competition-economics-dfg-grk-1974,"<a href=""https://www.dice.hhu.de/en/phd-programme/graduate-programme-competition-economics-dfg-grk-1974/graduate-programme-competition-economics-dfg-grk-1974"" title=""Graduate Programme Competition Economics - DFG GRK 1974"" target=""_blank"">Go to course website</a>",https://www.dice.hhu.de/en/phd-programme/duesseldorf-graduate-school-of-economics/admission,"<a href=""https://www.dice.hhu.de/en/phd-programme/duesseldorf-graduate-school-of-economics/admission"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 13,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4574/,,,,
1463,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",PhD / Doctorate,Düsseldorf,International Research Training Group 1902 - Intra- and Interorgan Communication of the Cardiovascular System,8 (For Cardiology),English,,,,,None,Any time,Any time,Any time,6 semesters,https://www.irtg1902.hhu.de/en/education-program,"<a href=""https://www.irtg1902.hhu.de/en/education-program"" title=""International Research Training Group 1902 - Intra- and Interorgan Communication of the Cardiovascular System"" target=""_blank"">Go to course website</a>",https://www.irtg1902.hhu.de/positions-and-scholarships,"<a href=""https://www.irtg1902.hhu.de/positions-and-scholarships"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 15,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4572/,,,,
1502,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",Master's degree,Düsseldorf,Summer Courses at Heinrich Heine University: Two / Four Weeks,,German,,,,,EUR 550,Summer,,20-Mar,1 Month,https://www.studierendenakademie.hhu.de/sprachen/internationale-sommerkurse,"<a href=""https://www.studierendenakademie.hhu.de/sprachen/internationale-sommerkurse"" title=""Summer Courses at Heinrich Heine University: Two / Four Weeks"" target=""_blank"">Go to course website</a>",https://www.studierendenakademie.hhu.de/sprachen/internationale-sommerkurse,"<a href=""https://www.studierendenakademie.hhu.de/sprachen/internationale-sommerkurse"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4979/,,,,
1518,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",PhD / Doctorate,"Düsseldorf,",CEPLAS - Cluster of Excellence on Plant Sciences,16 (For Botany),English,,,,,None,Winter ,varied,,More than 9 semesters,https://www.ceplas.eu/en/home/,"<a href=""https://www.ceplas.eu/en/home/"" title=""CEPLAS - Cluster of Excellence on Plant Sciences"" target=""_blank"">Go to course website</a>",https://www.ceplas.eu/en/training-careers/join-our-team/,"<a href=""https://www.ceplas.eu/en/training-careers/join-our-team/"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6293/,,,,
1562,349,30,Heinrich Heine University Dusseldorf,"<a href=""https://howtoabroad.com/heinrich-heine-university-dusseldorf/"" title=""Heinrich Heine University Dusseldorf"" target=""_blank"">Heinrich Heine University Dusseldorf</a>",PhD / Doctorate,Düsseldorf,"iGRAD-Plant: Network, Exchange, and Training Programme to Understand Plant Resource Allocation (NEXTplant)",,English,,,,,None,Any time,varied,,6 semesters,https://www.igrad-plant.hhu.de/,"<a href=""https://www.igrad-plant.hhu.de/"" title=""iGRAD-Plant: Network, Exchange, and Training Programme to Understand Plant Resource Allocation (NEXTplant)"" target=""_blank"">Go to course website</a>",https://www.igrad-plant.hhu.de/application,"<a href=""https://www.igrad-plant.hhu.de/application"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4093/,,,,
111,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Computer Science (MSc),19 ( computer science ),English,NO,,NA,NO,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://saarland-informatics-campus.de/en/studium-studies/bachelor-english/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/bachelor-english/"" title=""Computer Science (MSc)"" target=""_blank"">Go to course website</a>",https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3624/,,,,
133,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Data Science and Artificial Intelligence (MSc),"23 (For Data Science), 12 (Artificial Intelligence)",English,NA,,NA,NA,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://saarland-informatics-campus.de/en/studium-studies/data-science-and-artificial-intelligence-master/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/data-science-and-artificial-intelligence-master/"" title=""Data Science and Artificial Intelligence (MSc)"" target=""_blank"">Go to course website</a>",https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6296/,,,,
185,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Embedded Systems (MSc),,English,IELTS/TOEFL/Others,NO,,YES,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/embedded-systems.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/embedded-systems.html"" title=""Embedded Systems (MSc)"" target=""_blank"">Go to course website</a>",https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3923/,,,,
222,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,European Master's Programme in Language and Communication Technologies (LCT),,English,,,,,EUR 2125,Winter,01-Feb,,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/lct.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/lct.html"" title=""European Master's Programme in Language and Communication Technologies (LCT)"" target=""_blank"">Go to course website</a>",https://lct-master.org/contents_2014/application-form.php,"<a href=""https://lct-master.org/contents_2014/application-form.php"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3934/,,,,
392,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,International Master's Programme Language Science and Technology (LST),,English,IELTS 6.5/ TOEFL(IBT 70 /PBT 550 /CBT 213 /OTHERS,YES,NA,NA,None,Winter,15-Feb,,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/lst.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/lst.html"" title=""International Master's Programme Language Science and Technology (LST)"" target=""_blank"">Go to course website</a>",https://www.uni-saarland.de/en/study/programmes/master/lst.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/lst.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 4,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3739/,,,,
472,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Master in Educational Technology (EduTech),NA,English,,,3,NA,None,Winter,15-Jul,,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/edutech.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/edutech.html"" title=""Master in Educational Technology (EduTech)"" target=""_blank"">Go to course website</a>",https://www.uni-saarland.de/en/study/application/master.html,"<a href=""https://www.uni-saarland.de/en/study/application/master.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 8,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4397/,,,,
529,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Master of Business Administration (MBA) – European Management,,English,,,,,EUR 6000,Winter,15-Jul,,2 semesters,https://www.uni-saarland.de/en/study/programmes/continuing-education/european-management.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/continuing-education/european-management.html"" title=""Master of Business Administration (MBA) – European Management"" target=""_blank"">Go to course website</a>",https://www.uni-saarland.de/en/study/programmes/continuing-education/european-management.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/continuing-education/european-management.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5381/,,,,
733,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Master's Programme (LLM) in European and International Law,42 (For Law),English,,,,,EUR 2800,Winter,15-Jul,,2 semesters,https://www.uni-saarland.de/en/study/programmes/continuing-education/european-international-law.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/continuing-education/european-international-law.html"" title=""Master's Programme (LLM) in European and International Law"" target=""_blank"">Go to course website</a>",https://europainstitut.de/en/studies/master-llm/application-admission-info,"<a href=""https://europainstitut.de/en/studies/master-llm/application-admission-info"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3738/,,,,
756,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Mathematics,27 (For Mathematics),English,IELTS/TOEFL/Others,NO,,NA,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/mathematics.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/mathematics.html"" title=""Mathematics"" target=""_blank"">Go to course website</a>",https://oas.cs.uni-saarland.de/index.php?authorsInstructions=1,"<a href=""https://oas.cs.uni-saarland.de/index.php?authorsInstructions=1"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6896/,,,,
758,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Mathematics and Computer Science (MSc),"27 (For Mathematics), 19 ( computer science )",English,NO,,NA,NA,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://mathcs.uni-saarland.de/master_en.html,"<a href=""https://mathcs.uni-saarland.de/master_en.html"" title=""Mathematics and Computer Science (MSc)"" target=""_blank"">Go to course website</a>",https://oas.cs.uni-saarland.de/index.php?authorsInstructions=1,"<a href=""https://oas.cs.uni-saarland.de/index.php?authorsInstructions=1"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4758/,,,,
784,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Media Informatics (MSc),,English,IELTS/TOEFL/Others,NO,,NA,None,"Summer, Winter",15-Jul,15-Jan,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/media-informatics.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/media-informatics.html"" title=""Media Informatics (MSc)"" target=""_blank"">Go to course website</a>",https://www.uni-saarland.de/en/study/application/master.html,"<a href=""https://www.uni-saarland.de/en/study/application/master.html"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4634/,,,,
814,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,MSc High-Performance Sport,,English,IELTS 5.5/TOEFL (iBT 72)/Others,YES,2.5,NA,None,"Summer, Winter",15-Jul,15-Jan,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/hpsport.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/hpsport.html"" title=""MSc High-Performance Sport"" target=""_blank"">Go to course website</a>",https://master-high-performance-sport.de/,"<a href=""https://master-high-performance-sport.de/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5210/,,,,
895,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,MSc in Computer Science,19 ( computer science ),English,NA,,NA,NA,None,"Summer, Winter",15-May,15-Nov,3 semesters,https://www.uni-saarland.de/en/study/programmes/master/informatics.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/informatics.html"" title=""MSc in Computer Science"" target=""_blank"">Go to course website</a>",https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/,"<a href=""https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4842/,,,,
954,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,Visual Computing (MSc),,English,"IELTS 6.5/TOEFL (iBT 95,cBT 240,pBT 540)",NO,,YES,None,"Summer, Winter",15-May,15-Nov,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/visual-computing.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/visual-computing.html"" title=""Visual Computing (MSc)"" target=""_blank"">Go to course website</a>",https://www.mia.uni-saarland.de/mvc/application.shtml,"<a href=""https://www.mia.uni-saarland.de/mvc/application.shtml"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 5,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3827/,,,,
1107,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering,18 (For Materials Science),"German,English",,,,,Varied,Winter,31-Mar,,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/amase.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/amase.html"" title=""AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering"" target=""_blank"">Go to course website</a>",https://www.eusmat.net/international-studies/master/amase/application/,"<a href=""https://www.eusmat.net/international-studies/master/amase/application/"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6080/,,,,
1160,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Master's degree,Saarbrücken,German-French Master's Programme in Physics, 30 (For Physics),"German,English",,,,,None,Winter,30-Sep,,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/physik-international.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/master/physik-international.html"" title=""German-French Master's Programme in Physics"" target=""_blank"">Go to course website</a>",https://ci.physik.uni-saarland.de/application/application_de.php,"<a href=""https://ci.physik.uni-saarland.de/application/application_de.php"" title=""Submit application"" target=""_blank"">Submit application</a>",Phase 14,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6888/,,,,
1349,360,31,Saarland University,"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University"" rel=""noopener"" target=""_blank"">Saarland University</a> ",Bachelor's degree,Saarbrücken,EEIGM French-German Bachelor's Programme (Materials Science),18 (For Materials Science),"German,French",,,,,None,Winter,30-Sep,,6 semesters,https://www.uni-saarland.de/en/study/programmes/bachelor/materials-engineering.html,"<a href=""https://www.uni-saarland.de/en/study/programmes/bachelor/materials-engineering.html"" title=""EEIGM French-German Bachelor's Programme (Materials Science)"" target=""_blank"">Go to course website</a>",https://www.uni-saarland.de/en/study/application/enrolment.html,"<a href=""https://www.uni-saarland.de/en/study/application/enrolment.html"" title=""Submit application"" target=""_blank"">Submit application</a>",,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4416/,,,,
